"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW"
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-02-05",,,"0.01",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-02-06",,,"0.04",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-02-07",,,"2.45",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-02-08",,,"0.04",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-02-09",,,"0.00","0.0"
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-02-10",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-02-11",,,"0.12",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-02-12",,,"0.60",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-02-13",,,"0.01",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-02-14",,,"0.36",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-02-15",,,"0.00","0.0"
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-02-16",,,"0.00","0.0"
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-02-17",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-02-18",,,"0.00","0.0"
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-02-19",,,"0.29",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-02-20",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-02-21",,,"0.62","1.9"
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-02-22",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-02-23",,,"0.00","0.0"
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-02-24",,,"0.00","0.0"
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-02-25",,,"0.11",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-02-26",,,"0.05",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-02-27",,,"0.20",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-02-28",,,"0.00","0.0"
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-02-29",,,"0.00","0.0"
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-01",,,"0.00","0.0"
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-02",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-03",,,"0.01",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-04",,,"0.03",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-05",,,"0.00","0.0"
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-06",,,"0.25",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-07",,,"0.35",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-08",,,"0.00","0.0"
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-09",,,"0.00","0.0"
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-10",,,"0.01",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-11",,,"0.05",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-12",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-13",,,"0.01",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-14",,,"0.06",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-15",,,"0.01",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-16",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-17",,,"0.01",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-18",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-19",,,"0.21",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-20",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-22","    2","0.14",,
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-23",,,"0.68",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-24",,,"0.15",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-25",,,"1.29",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-26",,,"0.25",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-27",,,"0.01",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-28",,,"0.22",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-29",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-30",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-03-31",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-01",,,"1.33",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-02",,,"0.01",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-03",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-04",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-05",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-06",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-07",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-08",,,"0.01",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-09",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-10",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-11",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-12",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-13",,,"0.06",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-14",,,"0.31",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-15",,,"0.25",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-16",,,"0.12",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-17",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-18",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-19",,,"0.51",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-20",,,"0.19",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-21",,,"0.67",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-22",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-23",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-24",,,"0.35",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-25",,,"0.08",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-26",,,"0.14",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-27",,,"0.06",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-28",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-29",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-04-30",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-01",,,"1.62",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-02",,,"0.23",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-03",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-04",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-05",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-06",,,"0.35",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-07",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-08",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-09",,,"0.07",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-10",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-11",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-12",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-13",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-14",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-15",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-16",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-17",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-18",,,"0.33",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-19",,,"1.09",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-20",,,"0.30",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-21",,,"0.02",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-22",,,"0.59",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-23",,,"0.13",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-24",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-25",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-26",,,"0.01",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-27",,,"0.02",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-28",,,"0.56",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-29",,,"0.17",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-30",,,"0.18",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-05-31",,,"0.39",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-06-01",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-06-02",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-06-03",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-06-04",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-06-05",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-06-06",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-06-07",,,"1.21",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-06-08",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-06-09",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-06-10",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-06-11",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-06-12",,,"0.57",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-06-13",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-06-14",,,"0.00",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-06-15",,,"0.02",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-06-16",,,"0.67",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-06-17",,,"1.31",
"US1VACSC004","CHESAPEAKE 9.8 NW, VA US","2020-06-18",,,"0.06",
